loan_id,applicant_id,tujuan_pinjaman,jumlah_pinjaman,tenor_bulan,suku_bunga_persen,angsuran_bulanan,tanggal_pengajuan,status_persetujuan,skor_kredit,agunan,nilai_agunan,flag_default
LN000001,APP00001,KKB,159300000,36,5.99,4845000,2024-01-20,DISETUJUI,2,Ya,198900000,0
LN000002,APP00002,KKB  ,237500000,24,17.36,11784000,2025-12-15,DITOLAK,2,Ya,237800000,
LN000003,APP00003,KPR,1937000000,300,11.79,20101000,2023-06-05,Dalam Proses,5,Ya,2837300000,
LN000004,APP00004,Pendidikan,88300000,24,7.8,3986000,2024-02-25,Dalam Proses,1,Tidak,0,
LN000005,APP00005,KPR,1772700000,60,17.91,44928000,2025-12-27,disetujui,1,Ya,2237500000,0
LN000006,APP00006,  Kredit Multiguna,37600000,60,16.39,922000,2025-08-06,Ditolak,1,Ya,64500000,
LN000007,APP00007,Pendidikan  ,IDR 25800000,48,16.76,741000,2024-08-27,DISETUJUI,1,Tidak,0,0
LN000008,APP00008,Pendidikan,Rp 53600000,24,16.04,2625000,2023-05-09,Approved,1,Tidak,0,0
LN000009,APP00008,KKB,410600000,12,16.62,37375000,2025-04-14,Approved,2,Ya,655500000,0
LN000010,APP00009,Renovasi Rumah,194800000,36,6.56,5976000,2024-01-12,DITOLAK,1,Tidak,0,
LN000011,APP00010,KPR,1095400000,180,13.9,14514000,2023-07-30,Disetujui,5,Ya,2082600000,0
LN000012,APP00011, Kredit Multiguna ,Rp53000000,36,6.74,1630000,2023-09-10,Approved,1,Ya,94800000,0
LN000013,APP00012,  Kredit Tanpa Agunan  ,16400000,36,15.86,575000,2025-02-20,Dalam Proses,1,Tidak,0,
LN000014,APP00013,KPR,Rp. 941400000,300,8.0,7266000,2024-12-21,Disetujui,3,Ya,1375900000,0
LN000015,APP00014,  Konsumtif  ,11000000,24,9.41,505000,2025-10-07,Ditolak,1,Tidak,0,
LN000016,APP00015,Pendidikan,Rp 16900000,36,9.35,540000,2023-04-02,disetujui,5,Tidak,0,0
LN000017,APP00016,  Kredit Tanpa Agunan,6100000,36,5.57,184000,2023-02-28,DISETUJUI,5,Tidak,0,1
LN000018,APP00016,Konsumtif,10800000,12,17.41,987000,2025-03-28,Ditolak,3,Tidak,0,
LN000019,APP00017,KKB  ,390700000,60,17.64,9845000,2025-10-31,DISETUJUI,2,Ya,635000000,0
LN000020,APP00018,Kredit Multiguna,69200000,60,12.27,1549000,2025-12-23,ditolak,2,Ya,115800000,
LN000021,APP00019,Kredit Tanpa Agunan,49200000,6,10.42,8451000,2023-09-20,Dalam Proses,1,Tidak,0,
LN000022,APP00020,Modal Usaha,318500000,60,5.12,6028000,2024-07-26,Disetujui,2,Ya,509100000,0
LN000023,APP00020,Modal Usaha,293200000,12,7.7,25464000,2023-09-06,DITOLAK,3,Ya,536000000,
LN000024,APP00021,Kredit Multiguna,162900000,36,9.0,5180000,2023-09-07,disetujui,4,Ya,273200000,0
LN000025,APP00022,KKB,444800000,48,11.17,11533000,2023-04-26,Ditolak,1,Ya,473800000,
LN000026,APP00023,Renovasi Rumah,294100000,60,15.59,7088000,2025-12-18,ditolak,2,Tidak,0,
LN000027,APP00023,  Kredit Multiguna,108700000,60,13.63,2508000,2023-11-22,ditolak,1,Ya,156900000,
LN000028,APP00024,Pendidikan,33100000,12,10.68,2920000,2025-11-10,Rejected,2,Tidak,0,
LN000029,APP00025,Kredit Tanpa Agunan,47900000,36,11.53,1580000,2025-03-28,DISETUJUI,4,Tidak,0,1
LN000030,APP00026,Konsumtif,13200000,6,6.03,2239000,2025-01-01,DITOLAK,1,Tidak,0,
LN000031,APP00026,Kredit Multiguna,145000000,60,11.35,3178000,2025-07-25,Pending,1,Ya,235300000,
LN000032,APP00027,Kredit Multiguna,125000000,48,9.2,3123000,2023-09-04,DITOLAK,3,Ya,218500000,
LN000033,APP00028,Kredit Tanpa Agunan,28900000,24,5.94,1280000,2025-01-03,Rejected,2,Tidak,0,
LN000034,APP00029,Kredit Tanpa Agunan,20900000,6,16.88,3657000,2023-04-13,Ditolak,1,Tidak,0,
LN000035,APP00030, Kredit Tanpa Agunan ,17900000,6,6.12,3037000,2024-11-01,ditolak,3,Tidak,0,
LN000036,APP00030,Kredit Multiguna,150700000,36,14.87,5214000,2024-03-16,DISETUJUI,3,Ya,150800000,0
LN000037,APP00031,KPR  ,377800000,300,17.62,5618000,2024-07-16,disetujui,1,Ya,714800000,0
LN000038,APP00032,  Modal Usaha,IDR 221200000,60,10.2,4722000,2025-09-22,disetujui,1,Ya,246300000,0
LN000039,APP00033,KPR,1520800000,240,11.3,16009000,2024-07-01,Dalam Proses,4,Ya,1951900000,
LN000040,APP00033,Pendidikan,Rp. 32700000,48,17.03,944000,2024-09-04,DITOLAK,1,Tidak,0,
LN000041,APP00034,Kredit Multiguna,144600000,36,14.59,4984000,2023-12-16,dalam proses,4,Ya,280400000,
LN000042,APP00035,  KPR  ,1646500000,240,10.9,16883000,2024-10-17,DITOLAK,1,Ya,1630800000,
LN000043,APP00036,Renovasi Rumah  ,174900000,60,5.03,3303000,2023-02-15,Ditolak,4,Tidak,0,
LN000044,APP00037,KKB,294900000,48,9.87,7461000,2023-05-21,DISETUJUI,3,Ya,334100000,1
LN000045,APP00038,KKB,280600000,36,13.06,9463000,2023-12-31,Rejected,3,Ya,306800000,
LN000046,APP00039,  Konsumtif,16600000,12,9.93,1459000,2024-10-15,DITOLAK,1,Tidak,0,
LN000047,APP00040,Modal Usaha,362900000,36,7.89,11354000,2025-06-03,ditolak,3,Ya,334700000,
LN000048,APP00041,KPR  ,IDR 1982600000,300,8.45,15898000,2023-04-21,Approved,5,Ya,3237000000,1
LN000049,APP00041,Konsumtif,IDR 6200000,6,13.63,1075000,2023-08-13,DISETUJUI,1,Tidak,0,0
LN000050,APP00042,  Renovasi Rumah  ,149100000,12,15.64,13503000,2024-06-21,Rejected,2,Tidak,0,
LN000051,APP00043,Pendidikan,58900000,36,6.35,1801000,2024-12-02,DISETUJUI,5,Tidak,0,0
LN000052,APP00043,Pendidikan,67800000,24,13.05,3225000,2024-10-05,Disetujui,4,Tidak,0,0
LN000053,APP00044,Pendidikan,Rp 70200000,36,15.83,2462000,2025-01-11,DALAM PROSES,1,Tidak,0,
LN000054,APP00044,KKB,467000000,24,10.34,21623000,2024-05-03,Approved,3,Ya,814700000,0
LN000055,APP00045,Kredit Tanpa Agunan,44800000,36,13.24,1515000,2023-07-16,disetujui,5,Tidak,0,0
LN000056,APP00046,KKB,348500000,36,14.28,11958000,2024-11-27,Pending,2,Ya,369400000,
LN000057,APP00046,KPR,Rp 463400000,240,5.33,3143000,2025-03-06,Disetujui,1,Ya,564200000,0
LN000058,APP00047,KPR,1023000000,240,12.45,11587000,2024-07-06,DITOLAK,2,Ya,1349300000,
LN000059,APP00048,KKB,263600000,24,6.43,11734000,2025-01-17,Rejected,3,Ya,421100000,
LN000060,APP00049,Modal Usaha,209500000,24,15.28,10186000,2025-09-23,Pending,2,Ya,337000000,
LN000061,APP00050,KPR,1175900000,120,6.73,13490000,2024-03-15,Disetujui,1,Ya,1242200000,0
LN000062,APP00051,Modal Usaha,45300000,60,16.84,1122000,2024-09-26,disetujui,3,Ya,89300000,0
LN000063,APP00052,Kredit Tanpa Agunan,34600000,6,17.36,6062000,2024-07-02,Ditolak,1,Tidak,0,
LN000064,APP00053,Konsumtif,24600000,24,7.97,1112000,2025-01-15,Rejected,2,Tidak,0,
LN000065,APP00054,Kredit Multiguna,102000000,24,17.33,5059000,2025-04-30,disetujui,3,Ya,180700000,0
LN000066,APP00054,Kredit Tanpa Agunan,Rp. 33800000,6,6.15,5735000,2023-09-16,DITOLAK,5,Tidak,0,
LN000067,APP00055,Kredit Multiguna,96500000,24,15.47,4701000,2023-06-19,dalam proses,2,Ya,168600000,
LN000068,APP00056,Renovasi Rumah,231700000,36,10.87,7571000,2024-06-24,ditolak,1,Tidak,0,
LN000069,APP00056,Pendidikan,97100000,36,8.64,3072000,2023-06-06,DISETUJUI,1,Tidak,0,0
LN000070,APP00057,Kredit Tanpa Agunan,35200000,12,11.65,3122000,2023-02-07,Ditolak,1,Tidak,0,
LN000071,APP00058,Modal Usaha,258700000,60,11.67,5712000,2023-07-24,ditolak,4,Ya,474500000,
LN000072,APP00059,KKB,190100000,60,8.17,3870000,2024-05-12,Approved,5,Ya,357300000,1
LN000073,APP00060,KPR,Rp 1291300000,240,16.42,18373000,2025-03-19,Pending,2,Ya,1781300000,
LN000074,APP00061,Konsumtif,16600000,6,17.63,2911000,2024-04-30,Rejected,2,Tidak,0,
LN000075,APP00062,  Konsumtif,25100000,6,13.27,4347000,2024-01-15,Pending,2,Tidak,0,
LN000076,APP00063,Renovasi Rumah,75300000,60,15.58,1814000,2024-03-31,DISETUJUI,4,Tidak,0,0
LN000077,APP00064,Renovasi Rumah,250500000,60,8.88,5185000,2023-06-20,Disetujui,1,Tidak,0,0
LN000078,APP00064, Kredit Tanpa Agunan ,21800000,6,17.55,3822000,2025-09-23,Ditolak,1,Tidak,0,
LN000079,APP00065,Konsumtif,Rp. 24900000,6,6.6,4230000,2023-05-22,ditolak,2,Tidak,0,
LN000080,APP00066,  Konsumtif,IDR 2400000,12,8.6,209000,2023-08-30,Pending,5,Tidak,0,
LN000081,APP00067,Pendidikan,28100000,48,15.35,787000,2023-10-15,Approved,2,Tidak,0,0
LN000082,APP00068,Renovasi Rumah,296200000,12,6.84,25607000,2024-04-19,disetujui,5,Tidak,0,1
LN000083,APP00069,KKB,52300000,48,9.71,1319000,2024-05-05,Pending,1,Ya,47100000,
LN000084,APP00070, Pendidikan ,21400000,12,16.39,1946000,2023-06-16,disetujui,4,Tidak,0,0
LN000085,APP00071,Pendidikan,54300000,48,12.36,1440000,2023-01-25,Dalam Proses,1,Tidak,0,
LN000086,APP00072,  Konsumtif,4700000,12,14.09,422000,2024-01-29,Disetujui,2,Tidak,0,0
LN000087,APP00073,Kredit Tanpa Agunan,5300000,24,6.21,235000,2025-03-14,disetujui,4,Tidak,0,0
LN000088,APP00074,Kredit Tanpa Agunan,42500000,24,6.5,1893000,2025-07-17,Ditolak,2,Tidak,0,
LN000089,APP00075,Renovasi Rumah,Rp140500000,36,9.22,4482000,2025-07-20,Rejected,3,Tidak,0,
LN000090,APP00076,KPR,688900000,120,7.3,8106000,2025-05-10,DITOLAK,3,Ya,924100000,
LN000091,APP00076,Pendidikan,20600000,12,8.93,1801000,2024-07-29,Pending,4,Tidak,0,
