payment_id,loan_id,bulan_ke,tanggal_jatuh_tempo,tanggal_bayar,jumlah_angsuran,jumlah_dibayar,denda,status_pembayaran,hari_keterlambatan
PAY0000001,LN000001,1,2024-02-19,2024-02-16,Rp 4845000,Rp. 4845000,0,Tepat Waktu,0
PAY0000002,LN000001,2,2024-03-20,2024-03-15,4845000,4845000,0,TEPAT WAKTU,0
PAY0000003,LN000005,1,2026-01-26,2026-01-24,IDR 44928000,44928000,0,On Time,0
PAY0000004,LN000007,1,2024-09-26,2024-09-24,741000,741000,0,tepat waktu,0
PAY0000005,LN000007,2,2024-10-26,2024-10-21,Rp. 741000,741000,0,On Time,0
PAY0000006,LN000007,3,2024-11-25,,Rp. 741000,Rp 0,50000,gagal bayar,154
PAY0000007,LN000007,4,2024-12-25,2024-12-25,741000,Rp 741000,0,tepat waktu,0
PAY0000008,LN000007,5,2025-01-24,2025-01-21,Rp 741000,741000,0,TEPAT WAKTU,0
PAY0000009,LN000007,6,2025-02-23,2025-02-18,741000,Rp741000,0,Tepat Waktu,0
PAY0000010,LN000007,7,2025-03-25,2025-03-20,741000,741000,0,On Time,0
PAY0000011,LN000008,1,2023-06-08,2023-06-04,2625000,2625000,0,Tepat Waktu,0
PAY0000012,LN000008,2,2023-07-08,2023-08-12,2625000,Rp 2751000,126000,Late,35
PAY0000013,LN000008,3,2023-08-07,2023-09-09,2625000,2723000,98000,terlambat,33
PAY0000014,LN000008,4,2023-09-06,2023-09-06,2625000,2625000,0,TEPAT WAKTU,0
PAY0000015,LN000009,1,2025-05-14,2025-05-12,37375000,37375000,0,Tepat Waktu,0
PAY0000016,LN000009,2,2025-06-13,2025-06-13,37375000,37375000,0,tepat waktu,0
PAY0000017,LN000009,3,2025-07-13,2025-07-13,37375000,37375000,0,On Time,0
PAY0000018,LN000011,1,2023-08-29,2023-08-28,Rp14514000,14514000,0,tepat waktu,0
PAY0000019,LN000011,2,2023-09-28,2023-09-23,Rp 14514000,14514000,0,TEPAT WAKTU,0
PAY0000020,LN000011,3,2023-10-28,2023-11-14,14514000,14809000,295000,Terlambat,17
PAY0000021,LN000011,4,2023-11-27,2023-12-15,14514000,Rp. 15180000,666000,Late,18
PAY0000022,LN000011,5,2023-12-27,2024-01-17,14514000,14972000,458000,terlambat,21
PAY0000023,LN000011,6,2024-01-26,2024-01-25,Rp14514000,Rp 14514000,0,Tepat Waktu,0
PAY0000024,LN000011,7,2024-02-25,2024-02-22,14514000,14514000,0,Tepat Waktu,0
PAY0000025,LN000011,8,2024-03-26,2024-03-21,14514000,14514000,0,TEPAT WAKTU,0
PAY0000026,LN000011,9,2024-04-25,2024-04-25,14514000,14514000,0,Tepat Waktu,0
PAY0000027,LN000011,10,2024-05-25,2024-06-08,Rp. 14514000,14918000,404000,TERLAMBAT,14
PAY0000028,LN000012,1,2023-10-10,2023-10-26,Rp1630000,1675000,45000,Late,16
PAY0000029,LN000012,2,2023-11-09,2023-11-09,1630000,1630000,0,On Time,0
PAY0000030,LN000012,3,2023-12-09,2023-12-04,Rp1630000,1630000,0,On Time,0
PAY0000031,LN000012,4,2024-01-08,2024-01-08,1630000,Rp. 1630000,0,Tepat Waktu,0
PAY0000032,LN000012,5,2024-02-07,2024-03-21,1630000,1668000,38000,TERLAMBAT,43
PAY0000033,LN000012,6,2024-03-08,,1630000,Rp. 0,150000,gagal bayar,157
